vehicle_id,timestamp,speed,route_id,trip_id,latitude,longitude,trip_headsign
2601,2016-12-18T00:58:03-06:00,12.96416,10,1669922,30.34841,-97.70269,10-South 1st/Red River-NB
8945,2016-12-18T00:58:33-06:00,15.6464,481,1676605,30.365982,-97.71789,481-Night Owl North-NB
2618,2016-12-18T00:57:32-06:00,3.57632,481,1676617,30.311066,-97.733025,481-Night Owl North-SB
2065,2016-12-18T00:59:10-06:00,0.89408,483,1676666,30.25854,-97.74829,483-Night Owl Riverside-NB
2619,2016-12-18T00:58:36-06:00,10.28192,484,1676703,30.264122,-97.75719,484-Night Owl South Lamar-NB
2614,2016-12-18T00:59:23-06:00,12.51712,485,1676732,30.291622,-97.70747,485-Night Owl Cameron-NB
2624,2016-12-18T00:57:42-06:00,11.176,485,1676744,30.334826,-97.68492,485-Night Owl Cameron-SB
2602,2016-12-18T00:57:33-06:00,0.0,486,1676774,30.204283,-97.77518,486-Night Owl South Congress-SB
2625,2016-12-18T00:58:47-06:00,0.0,486,1676785,30.198177,-97.76352,486-Night Owl Dove Springs-NB
2213,2016-12-18T00:58:07-06:00,7.59968,7,1680608,30.27251,-97.74012,7-Duval / Dove Springs-SB
2610,2016-12-18T00:59:16-06:00,8.04672,7,1680663,30.332735,-97.70427,7-Duval / Dove Springs-NB
